"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.ncb.csm.AbstractTouchpoint.enqueue(cvm.ncb.oem.pe.Call)","0.0031865034","1.978 ms","9"
"cvm.model.CVM_Debug.printDebugMessage(String)","0.0022005884","1.366 ms","34"
"cvm.ncb.oem.policy.PolicyManager.buildDesiredFeatureList(String, String, java.util.Map)","0.0016141944","1.002 ms","2"
"cvm.ncb.ks.StateManager.createConnection(String)","0.0012903889","0.801 ms","1"
"cvm.ncb.ks.UserIDMappingTable.getInstance()","0.0011776208","0.731 ms","4"
"cvm.ncb.repository.loader.FilePolicyLoader.getAllPolicies()","8.554263E-4","0.531 ms","2"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(String)","7.58768E-4","0.471 ms","4"
"cvm.ncb.adapters.MockAdapter.$getCallSiteArray()","7.281595E-4","0.452 ms","671"
"cvm.ncb.oem.policy.PolicyManager.reduceSet(java.util.TreeSet, java.util.Iterator)","5.638403E-4","0.35 ms","6"
"cvm.ncb.repository.loader.FilePolicyLoader.isPolicyFile(String)","5.0906726E-4","0.316 ms","20"
"cvm.ncb.oem.pe.actions.MediumAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","4.913466E-4","0.305 ms","2"
"cvm.ncb.oem.pe.PolicyEvalManager.findConformingObject(String, String, java.util.Map)","4.768478E-4","0.296 ms","2"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Boolean, int)","4.2368573E-4","0.263 ms","3"
"cvm.ncb.repository.FilePolicyRepository.load(String, String)","3.8985533E-4","0.242 ms","2"
"cvm.ncb.adapters.MockAdapter.enableMedium(String, String)","3.673017E-4","0.228 ms","2"
"cvm.ncb.adapters.MockAdapter.hasMediumFailed(String, String)","3.49581E-4","0.217 ms","659"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.enqueueChangeRequest(edu.fiu.strg.ACSTF.manager.knowledge.ChangeRequest)","3.1413962E-4","0.195 ms","1"
"cvm.ncb.csm.BridgeExecutor.class$(String)","2.9964087E-4","0.186 ms","8"
"cvm.ncb.oem.pe.actions.MediumAction.enableNextFw(cvm.ncb.ks.Connection, String, cvm.ncb.csm.ManagedObject)","2.9480795E-4","0.183 ms","2"
"cvm.ncb.tpm.Touchpoint.notifyFailedFramework()","2.5453363E-4","0.158 ms","1"
"cvm.ncb.oem.pe.Call.toString()","2.4808975E-4","0.154 ms","11"
"cvm.ncb.oem.policy.PolicyManager.hasFeature(java.util.Collection, String, String, Object, int)","2.4003489E-4","0.149 ms","6"
"cvm.ncb.repository.loader.FilePolicyLoader.lookup(String, String)","2.2553613E-4","0.14 ms","2"
"cvm.ncb.ks.ObjectManager.getAvailableObjects()","2.223142E-4","0.138 ms","2"
"cvm.ncb.oem.pe.ActionSignalHandler.handle(cvm.ncb.oem.pe.Call, cvm.ncb.oem.pe.actions.ActionContext)","1.981496E-4","0.123 ms","7"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.class$(String)","1.8365085E-4","0.114 ms","2"
"cvm.ncb.adapters.MockAdapter.addParticipant(String, String)","1.7076307E-4","0.106 ms","2"
"cvm.ncb.oem.pe.actions.ReenableMediumAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","1.691521E-4","0.105 ms","1"
