"Hot Spots - Method","Self time [%]","Self time","Invocations"
"edu.fiu.strg.ACSTF.manager.mape.Analyzer.doFunction()","25.80612","20154.526 ms","18778"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.init()","14.874041","11616.595 ms","5460105"
"cvm.ncb.csm.ThreadedQueue.doWait()","9.983145","7796.815 ms","7"
"cvm.ncb.csm.ThreadedQueue.run()","6.709301","5239.95 ms","3"
"cvm.ncb.csm.BridgeExecutor.getMethod(String, java.util.Map)","6.490431","5069.013 ms","14330"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangeRequest()","6.4874425","5066.679 ms","2"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangePlan()","6.339656","4951.258 ms","2"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.doCall(java.lang.reflect.Method)","6.0454397","4721.476 ms","77378"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.booleanEqualsMapping(Object)","5.4959598","4292.333 ms","14842"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.doFunction()","3.3422868","2610.319 ms","5460105"
"cvm.ncb.csm.BridgeExecutor.areParamsEquiv(java.lang.reflect.Method, cvm.ncb.adapters.Method, java.util.Map)","1.5129452","1181.607 ms","14330"
"cvm.ncb.csm.BridgeExecutor.execute(String, java.util.Map)","1.4707376","1148.643 ms","14331"
"edu.fiu.strg.ACSTF.manager.mape.AbstractFunction.run()","1.0276455","802.589 ms","4"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.lockData()","1.0143535","792.208 ms","5478883"
"edu.fiu.strg.ACSTF.touchpoint.AbstractTouchPoint.getState()","0.7934131","619.654 ms","5460105"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.unlockData()","0.79251426","618.952 ms","5478883"
"cvm.ncb.csm.BridgeExecutor.orderParameters(java.lang.reflect.Method, java.util.Map)","0.2676358","209.023 ms","14329"
"cvm.ncb.tpm.Touchpoint.checkFrameworkForFailure()","0.23252943","181.605 ms","14842"
"cvm.ncb.adapters.Method$parameters.call(Object)","0.17112337","133.647 ms","128944"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.<init>(Object, Object, groovy.lang.Reference, groovy.lang.Reference)","0.12610021","98.484 ms","14330"
"cvm.ncb.repository.loader.FilePolicyLoader.getPolicyDocument(java.io.File)","0.08619357","67.317 ms","20"
"cvm.ncb.oem.pe.actions.SendSchemaAction.sendSchemaToCommObj(String, Object, Object, cvm.ncb.csm.ManagedObject)","0.066057794","51.591 ms","2"
"cvm.ncb.csm.BridgeExecutor.executeBoolean(String, java.util.Map)","0.064657025","50.497 ms","14320"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.isSatisfied(Object)","0.063398376","49.514 ms","14842"
"cvm.ncb.csm.BridgeExecutor$getMethod.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.057938695","45.25 ms","14330"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.flush()","0.05764804","45.023 ms","7107"
"cvm.ncb.csm.BridgeExecutor$execute.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.047126886","36.806 ms","14319"
