"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.sb.autonomic.SignalRegistry.registerSignal(cvm.sb.manager.SignalInstance)","0.009767359","1.092 ms","8"
"cvm.sb.autonomic.Planner.change(cvm.sb.autonomic.ChangeRequestInstance)","0.009677914","1.082 ms","2"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.class$(String)","0.009633192","1.077 ms","2"
"cvm.sb.policy.PolicyEvaluationManager.getRequest(cvm.sb.manager.SignalInstance, sb.base.policy.PolicyEvaluationPoint)","0.008676134","0.97 ms","24"
"cvm.sb.policy.PolicyManager.buildDesiredFeatureList(String, String, java.util.Map)","0.0085777445","0.959 ms","3"
"cvm.sb.expression.CombinationEvaluator.evaluate(String, java.util.Map)","0.0085151335","0.952 ms","7"
"cvm.sb.expression.EvaluationResult.$getCallSiteArray()","0.008041076","0.899 ms","7"
"cvm.sb.expression.ContextBinder$this$2$doGetBindable$0.callCurrent(groovy.lang.GroovyObject, Object)","0.007459686","0.834 ms","7"
"cvm.sb.expression.ContextProviderWrapper.wrap(java.util.Map)","0.0074417973","0.832 ms","5"
"cvm.sb.autonomic.Monitor.enableSymptom(sb.base.autonomic.Symptom, cvm.sb.expression.EvaluationResult)","0.0074239084","0.83 ms","2"
"cvm.sb.autonomic.Analyzer.requestChange(cvm.sb.autonomic.SymptomOccurrence, sb.base.autonomic.ChangeRequest)","0.007289741","0.815 ms","2"
"cvm.sb.expression.CombinationEvaluator.class$(String)","0.007048241","0.788 ms","8"
"cvm.sb.emf.HandlerFactory.createActionCaller(sb.base.common.ActionExecution)","0.006690462","0.748 ms","6"
"cvm.sb.manager.actions.SequenceActionInstance.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.006636795","0.742 ms","2"
"cvm.sb.expression.ContextBinder$this$2$doGetBindable.callCurrent(groovy.lang.GroovyObject, Object)","0.0064310725","0.719 ms","7"
"cvm.sb.adapters.Call$parameters.call(Object)","0.006055405","0.677 ms","82"
"cvm.sb.policy.metadata.Feature.hasAttributeValue(String, Boolean, int)","0.0057065706","0.638 ms","4"
"cvm.sb.policy.PolicyManager.findConformingObject(cvm.sb.resource.ResourceManager, String, String, java.util.Map)","0.005643959","0.631 ms","3"
"cvm.sb.policy.metadata.Feature.hasAttributeValue(String, Integer, int)","0.005035735","0.563 ms","4"
"cvm.sb.resource.bridge.CallExecutor.orderParameters(java.lang.reflect.Method, java.util.Map)","0.004937346","0.552 ms","11"
"cvm.sb.policy.metadata.Feature.getAttribute(String)","0.0046869013","0.524 ms","8"
"cvm.sb.expression.ConditionEvaluator.evaluate(String, java.util.Collection)","0.004266511","0.477 ms","7"
"cvm.sb.expression.ContextProviderWrapper$wrap$0.call(Object, Object)","0.00394451","0.441 ms","8"
"cvm.sb.expression.ContextProviderParams.getVariable(String)","0.0038729545","0.433 ms","10"
"cvm.sb.autonomic.SignalRegistry.getSignalEntries(String)","0.0037745654","0.422 ms","16"
"cvm.ncb.oem.policy.PolicyDefaultHandler.handleResource(cvm.sb.policy.PolicyRequest, cvm.sb.manager.ManagerContext, cvm.sb.resource.Resource)","0.002978508","0.333 ms","3"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.$get$$class$cvm$sb$adapters$Call()","0.0029158965","0.326 ms","1102"
"cvm.sb.expression.ContextBinder.doGetBindable(sb.base.common.Signal)","0.0028443409","0.318 ms","6"
"cvm.sb.expression.ContextProviderWrapper.wrap(Object)","0.0028175074","0.315 ms","16"
"cvm.sb.emf.HandlerFactory.createActionInstance(sb.base.common.MacroAction)","0.0027638406","0.309 ms","2"
"cvm.sb.emf.HandlerFactory$this$2$createActionInstance$0.callCurrent(groovy.lang.GroovyObject, Object)","0.002388173","0.267 ms","2"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.class$(String)","0.002334506","0.261 ms","2"
"cvm.sb.expression.ContextProviderWrapper$wrap$0.callStatic(Class, Object)","0.0022987283","0.257 ms","8"
"cvm.sb.expression.ContextProviderWrapper$wrap.call(Object, Object)","0.0021645613","0.242 ms","5"
"cvm.sb.state.StateHolder.get(String, Object)","0.002119839","0.237 ms","3"
"cvm.sb.state.StateTypeManager.create(Object)","0.0020214496","0.226 ms","1"
"cvm.sb.emf.HandlerFactory$_createActionInstance_closure3.doCall(sb.base.common.ActionExecution)","0.0019588384","0.219 ms","4"
"cvm.sb.manager.actions.ActionCaller.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.0019051717","0.213 ms","12"
"cvm.sb.expression.ContextBinder$getBindings.call(Object, Object)","0.0018336159","0.205 ms","7"
"cvm.sb.emf.HandlerFactory.createActionInstance(sb.base.common.SequenceAction)","0.0017083933","0.191 ms","1"
"cvm.ncb.adapters.MockAdapter.$getCallSiteArray()","0.0016905044","0.189 ms","13"
"cvm.sb.expression.ContextBinder.class$(String)","0.00168156","0.188 ms","11"
"cvm.sb.expression.ContextBinder.$getCallSiteArray()","0.001663671","0.186 ms","49"
"cvm.sb.expression.ContextBinder.<init>(cvm.sb.manager.ManagerContext, cvm.sb.expression.SignalLogger)","0.0016189486","0.181 ms","8"
"cvm.sb.policy.PolicyEvaluationManager.handle(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext)","0.0016100042","0.18 ms","8"
"cvm.sb.resource.bridge.CallExecutor.$getCallSiteArray()","0.0016010597","0.179 ms","62"
"cvm.sb.policy.repository.DefaultPolicyRepository.load(String, String)","0.0015831708","0.177 ms","3"
"cvm.sb.autonomic.Monitor.sense(cvm.sb.manager.SignalInstance)","0.0015473929","0.173 ms","8"
"cvm.sb.autonomic.AutonomicManager.handle(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext)","0.0014311149","0.16 ms","8"
"cvm.sb.manager.BrokerManager.getContext()","0.0013774481","0.154 ms","8"
"cvm.sb.resource.bridge.CallExecutor.class$(String)","0.0013685036","0.153 ms","8"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.<init>(Object, Object, groovy.lang.Reference, groovy.lang.Reference)","0.0013237812","0.148 ms","11"
"cvm.sb.expression.ValueEvaluator.$getCallSiteArray()","0.0013058922","0.146 ms","104"
"cvm.sb.policy.PolicyRequest.createPolicyContext(cvm.sb.expression.ContextProvider, sb.base.policy.PolicyEvaluation)","0.0013058922","0.146 ms","3"
"cvm.sb.state.StateHolder.<init>(sb.base.context.State, Object)","0.0012343365","0.138 ms","1"
"cvm.sb.policy.metadata.Feature.toString()","0.0012164477","0.136 ms","8"
"cvm.ncb.oem.pe.actions.SendSchemaAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.0011538364","0.129 ms","1"
"cvm.sb.manager.SignalInstance.toString()","0.0011538364","0.129 ms","14"
"cvm.sb.autonomic.Analyzer.symptomDetected(cvm.sb.autonomic.SymptomOccurrence)","0.0011538364","0.129 ms","2"
"cvm.ncb.adapters.MockAdapter.sendSchema(String, String)","0.0011538364","0.129 ms","2"
"cvm.sb.state.StateManager.findType(String)","0.0011448918","0.128 ms","7"
"cvm.ncb.oem.pe.actions.AddParticipantAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.001127003","0.126 ms","1"
"cvm.sb.expression.CombinationEvaluator.$getCallSiteArray()","0.001127003","0.126 ms","26"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(String)","0.0011180585","0.125 ms","4"
"cvm.ncb.oem.policy.PolicyDefaultHandler.enableNextFw(cvm.sb.state.StateHolder, Object, cvm.sb.resource.Resource)","0.0011001695","0.123 ms","2"
"cvm.sb.resource.ResourceManager.getAllAvailable()","0.0011001695","0.123 ms","3"
