"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.sb.policy.PolicyManager.hasFeature(java.util.Collection, String, String, Object, int)","0.078693144","8.632 ms","8"
"cvm.sb.expression.ContextProvider$getVariable.call(Object, Object)","0.07113562","7.803 ms","58"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.doCall(cvm.sb.state.StateTypeManager)","0.0696314","7.638 ms","12"
"cvm.sb.expression.ValueEvaluator.class$(String)","0.06938526","7.611 ms","8"
"cvm.sb.resource.bridge.CallExecutor.<clinit>","0.058573153","6.425 ms","1"
"cvm.sb.resource.bridge.CallExecutor.$getStaticMetaClass()","0.052756865","5.787 ms","12"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.doCall(cvm.sb.state.StateHolder)","0.046056278","5.052 ms","3"
"cvm.sb.manager.BrokerManager.execute(cvm.sb.manager.SignalInstance)","0.037268024","4.088 ms","8"
"cvm.sb.expression.ConditionEvaluator.$getStaticMetaClass()","0.036520477","4.006 ms","8"
"cvm.sb.expression.ValueEvaluator.getValue(cvm.sb.expression.ContextProvider, sb.base.common.Value)","0.03484305","3.822 ms","41"
"cvm.sb.autonomic.Monitor.evaluateConditions(sb.base.autonomic.Symptom)","0.034706302","3.807 ms","8"
"cvm.sb.expression.CombinationEvaluator.evaluate(String, java.util.Map)","0.033220325","3.644 ms","7"
"cvm.sb.expression.ConditionEvaluator.class$(String)","0.030959444","3.396 ms","7"
"cvm.sb.policy.PolicyManager.reduceSet(java.util.TreeSet, java.util.Iterator)","0.02758636","3.026 ms","9"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.class$(String)","0.022399103","2.457 ms","2"
"cvm.sb.manager.SignalInstance.getParams()","0.022289706","2.445 ms","57"
"cvm.sb.resource.bridge.ManagedResource.execute(String, java.util.Map)","0.020402603","2.238 ms","12"
"cvm.sb.expression.ContextBinder.getBindings(java.util.Collection)","0.01925393","2.112 ms","7"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.doCall(String, Object)","0.018387867","2.017 ms","9"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.<init>(Object, Object, groovy.lang.Reference)","0.018205538","1.997 ms","12"
"cvm.sb.expression.ContextBinder.doGetBindable(sb.base.context.State)","0.017849999","1.958 ms","7"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.<init>(Object, Object, groovy.lang.Reference, groovy.lang.Reference, groovy.lang.Reference, groovy.lang.Reference)","0.014960085","1.641 ms","11"
"cvm.sb.emf.HandlerFactory.class$(String)","0.013729365","1.506 ms","2"
"cvm.ncb.adapters.MockAdapter.login()","0.013310009","1.46 ms","2"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.doCall(Object)","0.0123072","1.35 ms","3"
"cvm.sb.resource.AbstractResource.enqueue(cvm.sb.manager.SignalInstance)","0.011988124","1.315 ms","10"
"cvm.sb.policy.PolicyRequest.getHandler()","0.011951659","1.311 ms","3"
"cvm.sb.autonomic.SignalRegistry.registerSignal(cvm.sb.manager.SignalInstance)","0.011887844","1.304 ms","8"
"cvm.sb.expression.ContextProviderBinding.class$(String)","0.011067363","1.214 ms","2"
"cvm.service.UserIDMappingTable.lookupContact(String, String)","0.011003548","1.207 ms","4"
"cvm.sb.expression.ValueEvaluator$getValue.call(Object, Object, Object)","0.010994432","1.206 ms","38"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.class$(String)","0.009882226","1.084 ms","2"
"cvm.sb.policy.PolicyManager.buildDesiredFeatureList(String, String, java.util.Map)","0.009234958","1.013 ms","3"
"cvm.sb.expression.ContextProviderWrapper.wrap(java.util.Map)","0.008979698","0.985 ms","5"
"cvm.sb.autonomic.Planner.change(cvm.sb.autonomic.ChangeRequestInstance)","0.008642389","0.948 ms","2"
"cvm.sb.policy.PolicyEvaluationManager.getRequest(cvm.sb.manager.SignalInstance, sb.base.policy.PolicyEvaluationPoint)","0.008277731","0.908 ms","24"
"cvm.sb.expression.ContextBinder$this$2$doGetBindable$0.callCurrent(groovy.lang.GroovyObject, Object)","0.008140985","0.893 ms","7"
"cvm.sb.resource.ThreadedQueue.wake()","0.007931307","0.87 ms","10"
"cvm.sb.autonomic.Monitor.enableSymptom(sb.base.autonomic.Symptom, cvm.sb.expression.EvaluationResult)","0.0076031145","0.834 ms","2"
"cvm.sb.autonomic.Analyzer.requestChange(cvm.sb.autonomic.SymptomOccurrence, sb.base.autonomic.ChangeRequest)","0.0075848815","0.832 ms","2"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.class$(String)","0.0075392993","0.827 ms","2"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.$get$$class$cvm$sb$expression$ConditionEvaluator$_evaluate_closure1()","0.0067826346","0.744 ms","2"
"cvm.sb.manager.actions.SequenceActionInstance.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.0062082987","0.681 ms","2"
"cvm.sb.policy.PolicyManager.findConformingObject(cvm.sb.resource.ResourceManager, String, String, java.util.Map)","0.0059986203","0.658 ms","3"
"cvm.sb.emf.HandlerFactory.createActionCaller(sb.base.common.ActionExecution)","0.0058801067","0.645 ms","6"
"cvm.sb.resource.bridge.CallExecutor.$getCallSiteArray()","0.005725127","0.628 ms","62"
"cvm.sb.manager.SignalHandlerManager.handle(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext)","0.0051143253","0.561 ms","8"
"cvm.sb.adapters.Call$parameters.call(Object)","0.005068743","0.556 ms","82"
"cvm.sb.policy.metadata.Feature.hasAttributeValue(String, Boolean, int)","0.004986695","0.547 ms","4"
"cvm.sb.policy.metadata.Feature.hasAttributeValue(String, Integer, int)","0.004694969","0.515 ms","4"
"cvm.sb.expression.ContextBinder$this$2$doGetBindable.callCurrent(groovy.lang.GroovyObject, Object)","0.004694969","0.515 ms","7"
"cvm.sb.expression.CombinationEvaluator.class$(String)","0.004676736","0.513 ms","8"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.$getCallSiteArray()","0.0046038046","0.505 ms","564"
"cvm.sb.resource.bridge.CallExecutor.orderParameters(java.lang.reflect.Method, java.util.Map)","0.004293845","0.471 ms","11"
"cvm.sb.state.StateHolder.<init>(sb.base.context.State, Object)","0.0041024","0.45 ms","1"
"cvm.sb.expression.ConditionEvaluator.evaluate(String, java.util.Collection)","0.0039656535","0.435 ms","7"
"cvm.ncb.oem.policy.PolicyDefaultHandler.handleResource(cvm.sb.policy.PolicyRequest, cvm.sb.manager.ManagerContext, cvm.sb.resource.Resource)","0.0031816391","0.349 ms","3"
"cvm.sb.expression.ContextProviderWrapper$wrap$0.call(Object, Object)","0.0029263785","0.321 ms","8"
"cvm.sb.autonomic.SignalRegistry.getSignalEntries(String)","0.0025343716","0.278 ms","16"
"cvm.sb.expression.ContextProviderWrapper.wrap(Object)","0.0025161386","0.276 ms","16"
"cvm.sb.expression.ConditionEvaluator.$get$$class$cvm$sb$expression$ContextBinder()","0.002479673","0.272 ms","8"
"cvm.sb.emf.HandlerFactory$this$2$createActionInstance$0.callCurrent(groovy.lang.GroovyObject, Object)","0.00246144","0.27 ms","2"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.$get$$class$cvm$sb$adapters$Call()","0.0024158577","0.265 ms","1102"
"cvm.sb.expression.ContextProviderWrapper$wrap.call(Object, Object)","0.0024158577","0.265 ms","5"
"cvm.sb.expression.ContextBinder.$getCallSiteArray()","0.002342926","0.257 ms","49"
"cvm.sb.expression.ContextBinder.doGetBindable(sb.base.common.Signal)","0.0023338096","0.256 ms","6"
"cvm.sb.emf.HandlerFactory.createActionInstance(sb.base.common.MacroAction)","0.0023246934","0.255 ms","2"
"cvm.sb.expression.ContextProviderWrapper$wrap$0.callStatic(Class, Object)","0.0021605974","0.237 ms","8"
"cvm.sb.state.StateTypeManager.create(Object)","0.0021514809","0.236 ms","1"
"cvm.sb.resource.ThreadedQueue.run()","0.0021150152","0.232 ms","3"
"cvm.sb.policy.repository.DefaultPolicyRepository.load(String, String)","0.0020603165","0.226 ms","3"
"cvm.sb.emf.HandlerFactory$_createActionInstance_closure3.doCall(sb.base.common.ActionExecution)","0.0019144533","0.21 ms","4"
"cvm.sb.policy.PolicyManager.getConformingObjects(java.util.TreeSet, String, String, java.util.Map)","0.00164096","0.18 ms","3"
"cvm.sb.manager.actions.ActionCaller.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.001622727","0.178 ms","12"
"cvm.sb.emf.HandlerFactory.createActionInstance(sb.base.common.SequenceAction)","0.0016136107","0.177 ms","1"
"cvm.sb.expression.ContextBinder.<init>(cvm.sb.manager.ManagerContext, cvm.sb.expression.SignalLogger)","0.0015862613","0.174 ms","8"
"cvm.sb.emf.HandlerFactory$this$2$createActionInstance$1.callCurrent(groovy.lang.GroovyObject, Object)","0.0015680284","0.172 ms","1"
"cvm.sb.manager.BrokerManager.getContext()","0.0015406791","0.169 ms","8"
"cvm.sb.expression.ValueEvaluator.$getCallSiteArray()","0.0015042133","0.165 ms","104"
"cvm.sb.autonomic.Monitor.sense(cvm.sb.manager.SignalInstance)","0.001476864","0.162 ms","8"
"cvm.sb.autonomic.AutonomicManager.handle(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext)","0.0014495146","0.159 ms","8"
"cvm.sb.resource.bridge.CallExecutor.class$(String)","0.0014403982","0.158 ms","8"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(String)","0.0014221653","0.156 ms","4"
"cvm.sb.policy.PolicyEvaluationManager.handle(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext)","0.0013765831","0.151 ms","8"
"cvm.ncb.adapters.MockAdapter.enableMedium(String, String)","0.0013583502","0.149 ms","3"
"cvm.sb.expression.ContextBinder.class$(String)","0.0013310008","0.146 ms","11"
"cvm.ncb.oem.policy.PolicyDefaultHandler.enableNextFw(cvm.sb.state.StateHolder, Object, cvm.sb.resource.Resource)","0.0012671858","0.139 ms","2"
"cvm.sb.policy.PolicyRequest.createPolicyContext(cvm.sb.expression.ContextProvider, sb.base.policy.PolicyEvaluation)","0.0012580693","0.138 ms","3"
"cvm.sb.autonomic.Analyzer.symptomDetected(cvm.sb.autonomic.SymptomOccurrence)","0.0012580693","0.138 ms","2"
"cvm.ncb.adapters.MockAdapter.sendSchema(String, String)","0.0012489528","0.137 ms","2"
"cvm.ncb.adapters.MockAdapter.$getCallSiteArray()","0.0011851378","0.13 ms","13"
"cvm.sb.policy.metadata.Feature.toString()","0.0011851378","0.13 ms","8"
"cvm.sb.manager.SignalInstance.toString()","0.0011851378","0.13 ms","14"
"cvm.sb.expression.CombinationEvaluator.$getCallSiteArray()","0.0011669048","0.128 ms","26"
"cvm.ncb.oem.pe.actions.SendSchemaAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.0011577884","0.127 ms","1"
"cvm.ncb.oem.pe.actions.LoginAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.0011577884","0.127 ms","1"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.<init>(Object, Object, groovy.lang.Reference, groovy.lang.Reference)","0.001148672","0.126 ms","11"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.$get$$class$cvm$sb$expression$CombinationEvaluator$_evaluate_closure1()","0.0011395555","0.125 ms","2"
"cvm.ncb.oem.pe.actions.AddParticipantAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","0.0011304391","0.124 ms","1"
"cvm.sb.expression.ContextProviderWrapper.$getCallSiteArray()","0.0011213226","0.123 ms","78"
"java.util.logging.LogManager$Cleaner.run()","0.0011122061","0.122 ms","1"
"cvm.sb.resource.ResourceManager.getAllAvailable()","0.0011030898","0.121 ms","3"
"cvm.sb.emf.HandlerFactory.$getCallSiteArray()","0.0010757404","0.118 ms","14"
"cvm.sb.state.StateManager.findType(String)","0.0010575076","0.116 ms","7"
"cvm.sb.state.StateHolder.getId()","0.0010301583","0.113 ms","14"
"cvm.sb.expression.ConditionEvaluator.$getCallSiteArray()","0.0010210418","0.112 ms","25"
"cvm.sb.expression.ContextBinder.getBindable(sb.base.common.Bindable)","9.572267E-4","0.105 ms","14"
"cvm.sb.policy.PolicyEvaluationManager.evaluate(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext, sb.base.policy.PolicyEvaluationPoint)","9.3899376E-4","0.103 ms","24"
"cvm.sb.resource.ThreadedQueue.enqueue(cvm.sb.manager.SignalInstance)","9.116444E-4","0.1 ms","10"
"cvm.sb.policy.PolicyManager.getSuperFeatures(java.util.Collection, String)","9.02528E-4","0.099 ms","8"
"cvm.sb.manager.actions.ActionSignalHandler.handle(cvm.sb.manager.SignalInstance, cvm.sb.manager.ManagerContext)","8.934115E-4","0.098 ms","52"
"cvm.sb.expression.ConditionEvaluator.<init>(cvm.sb.expression.ContextBinder)","8.842951E-4","0.097 ms","8"
"cvm.ncb.adapters.MockAdapter.addParticipant(String, String)","8.7517867E-4","0.096 ms","2"
"cvm.sb.state.StateHolder.get(String, Object)","8.660622E-4","0.095 ms","3"
"cvm.sb.manager.actions.ActionCaller.execute(cvm.sb.manager.ManagerContext, cvm.sb.expression.ContextProvider)","8.5694576E-4","0.094 ms","12"
"cvm.sb.expression.ContextProviderWrapper.class$(String)","8.3871285E-4","0.092 ms","2"
"cvm.ncb.oem.pe.actions.MediumAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","8.295964E-4","0.091 ms","3"
"cvm.sb.expression.ConditionEvaluator.$get$$class$cvm$sb$expression$ConditionEvaluator()","8.2048E-4","0.09 ms","10"
"cvm.ncb.adapters.MockAdapter.createSession(String)","8.113635E-4","0.089 ms","2"
"cvm.sb.manager.SignalInstance.getVariable(String)","8.022471E-4","0.088 ms","25"
"cvm.sb.state.StateHolder.getAsSet(String)","8.022471E-4","0.088 ms","3"
"cvm.sb.resource.bridge.CallExecutor$getMethod.callCurrent(groovy.lang.GroovyObject, Object, Object)","7.7489775E-4","0.085 ms","11"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.$getCallSiteArray()","7.7489775E-4","0.085 ms","12"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.$getCallSiteArray()","7.566649E-4","0.083 ms","18"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.$getCallSiteArray()","7.38432E-4","0.081 ms","16"
"cvm.sb.policy.metadata.Feature.getAttribute(String)","7.201991E-4","0.079 ms","8"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.$getCallSiteArray()","7.0196623E-4","0.077 ms","25"
"cvm.sb.expression.ContextBinder.$createCallSiteArray_1(String[])","7.0196623E-4","0.077 ms","2"
"cvm.sb.expression.ContextProviderBinding.$getCallSiteArray()","6.9284975E-4","0.076 ms","37"
"cvm.ncb.adapters.NCBBridgeBase.addAParticipant(String, String)","6.9284975E-4","0.076 ms","2"
"cvm.sb.resource.bridge.CallExecutor.$createCallSiteArray()","6.837333E-4","0.075 ms","2"
"cvm.sb.manager.actions.CallActionInstance.execute(cvm.sb.manager.ManagerContext, java.util.Map)","6.746169E-4","0.074 ms","2"
"cvm.sb.expression.ConditionEvaluator$evaluate.callCurrent(groovy.lang.GroovyObject, Object, Object)","6.746169E-4","0.074 ms","7"
"cvm.sb.expression.CombinedContextProvider.getVariable(String)","6.746169E-4","0.074 ms","12"
"cvm.sb.manager.actions.ActionSignalHandler.canHandle(cvm.sb.manager.SignalInstance)","6.746169E-4","0.074 ms","52"
"cvm.sb.autonomic.SignalRegistry.getSignalInstances(String)","6.655004E-4","0.073 ms","7"
"cvm.sb.resource.bridge.CallExecutor$orderParameters.callCurrent(groovy.lang.GroovyObject, Object, Object)","6.4726756E-4","0.071 ms","11"
"cvm.sb.policy.PolicyRequest.getPolicyContext()","6.4726756E-4","0.071 ms","3"
"cvm.sb.expression.CombinationEvaluator$evaluate.call(Object, Object, Object)","6.4726756E-4","0.071 ms","7"
"cvm.sb.expression.CombinationEvaluator.$createCallSiteArray()","6.4726756E-4","0.071 ms","2"
"cvm.sb.emf.HandlerFactory$_createActionInstance_closure3.$getCallSiteArray()","6.4726756E-4","0.071 ms","7"
"cvm.sb.resource.bridge.ManagedResource.execute(cvm.sb.manager.SignalInstance)","6.4726756E-4","0.071 ms","12"
"cvm.sb.expression.ContextBinder.$createCallSiteArray()","6.381511E-4","0.07 ms","2"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.<init>(Object, Object)","6.381511E-4","0.07 ms","7"
"cvm.sb.resource.ResourceManager.getResource(String)","6.381511E-4","0.07 ms","3"
"cvm.sb.autonomic.ChangePlanInstance.getVariable(String)","6.2903465E-4","0.069 ms","6"
"cvm.ncb.adapters.MockAdapter.destroySession(String)","6.2903465E-4","0.069 ms","1"
"cvm.sb.resource.bridge.CallExecutor.<init>(Object)","6.199182E-4","0.068 ms","12"
"cvm.sb.expression.EvaluationResult.$getCallSiteArray()","6.199182E-4","0.068 ms","7"
"cvm.sb.autonomic.Monitor.checkSymptom(sb.base.autonomic.Symptom)","6.1080174E-4","0.067 ms","8"
"cvm.sb.expression.ContextBinder$getBindings.call(Object, Object)","6.016853E-4","0.066 ms","7"
"cvm.sb.expression.ConditionEvaluator.$createCallSiteArray()","6.016853E-4","0.066 ms","2"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.$createCallSiteArray()","6.016853E-4","0.066 ms","2"
"cvm.sb.state.StateTypeManager.getObjectInternal(Object)","5.834524E-4","0.064 ms","7"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.class$(String)","5.74336E-4","0.063 ms","4"
"cvm.sb.expression.ValueEvaluator.$createCallSiteArray()","5.74336E-4","0.063 ms","1"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.$createCallSiteArray()","5.6521955E-4","0.062 ms","2"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.$getCallSiteArray()","5.5610307E-4","0.061 ms","7"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.$createCallSiteArray()","5.4698664E-4","0.06 ms","2"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.<init>(Object, Object, groovy.lang.Reference)","5.287538E-4","0.058 ms","5"
"cvm.sb.resource.bridge.CallExecutor.$createCallSiteArray_1(String[])","5.287538E-4","0.058 ms","2"
"cvm.sb.expression.StateTypeManagerContext.$getCallSiteArray()","5.287538E-4","0.058 ms","16"
"cvm.sb.manager.actions.ActionCaller.getParams(cvm.sb.expression.ContextProvider)","5.287538E-4","0.058 ms","12"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.$createCallSiteArray()","5.196373E-4","0.057 ms","2"
"cvm.sb.resource.ThreadedQueue.process(cvm.sb.manager.SignalInstance)","5.196373E-4","0.057 ms","16"
"cvm.sb.state.StateManager.getType(sb.base.context.State)","5.196373E-4","0.057 ms","14"
"cvm.sb.emf.HandlerFactory.createActionInstance(sb.base.common.EnqueueCall)","5.105209E-4","0.056 ms","1"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.class$(String)","5.105209E-4","0.056 ms","2"
"cvm.sb.state.StateManager$getType.call(Object, Object)","5.0140446E-4","0.055 ms","7"
"cvm.sb.policy.PolicyManager.getSuperFeatures(cvm.sb.policy.metadata.Feature)","5.0140446E-4","0.055 ms","8"
"cvm.sb.expression.ContextProviderWrapper.$createCallSiteArray()","4.92288E-4","0.054 ms","2"
"cvm.sb.policy.PolicyManager$DesiredFeaturesList.addDesiredFeature(String, String, Object, int)","4.92288E-4","0.054 ms","6"
"cvm.sb.state.StateHolder.set(String, Object)","4.8317155E-4","0.053 ms","4"
"cvm.sb.emf.HandlerFactory$_createActionInstance_closure3.$createCallSiteArray()","4.8317155E-4","0.053 ms","2"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.$createCallSiteArray()","4.740551E-4","0.052 ms","2"
"cvm.sb.manager.ManagerContext$getStateManager.call(Object)","4.6493867E-4","0.051 ms","7"
"cvm.sb.expression.ContextProviderBinding.$createCallSiteArray()","4.6493867E-4","0.051 ms","2"
"cvm.sb.emf.HandlerFactory.$getStaticMetaClass()","4.6493867E-4","0.051 ms","2"
"cvm.sb.expression.StateTypeManagerContext.$createCallSiteArray()","4.6493867E-4","0.051 ms","2"
"cvm.sb.policy.metadata.Feature.hasAttributeValue(String, Object, int)","4.558222E-4","0.05 ms","8"
"cvm.sb.expression.SignalLogger$getSignalInstances.call(Object, Object)","4.4670576E-4","0.049 ms","7"
"cvm.service.UserIDMappingTable.getInstance()","4.4670576E-4","0.049 ms","4"
"cvm.sb.expression.CombinationEvaluator.$get$$class$cvm$sb$expression$CombinationEvaluator()","4.4670576E-4","0.049 ms","35"
"cvm.sb.expression.StateTypeManagerContext$_entrySet_closure1.$createCallSiteArray()","4.4670576E-4","0.049 ms","2"
"cvm.sb.resource.bridge.CallExecutor.$get$$class$cvm$sb$resource$bridge$CallExecutor()","4.3758933E-4","0.048 ms","15"
"cvm.sb.policy.PolicyManager.reduceSet(java.util.TreeSet, cvm.sb.policy.PolicyManager.DesiredFeaturesList)","4.3758933E-4","0.048 ms","3"
"cvm.sb.autonomic.Executor.execute(cvm.sb.autonomic.ChangePlanInstance)","4.3758933E-4","0.048 ms","2"
"cvm.sb.policy.PolicyManager.findConformingObject(cvm.sb.resource.ResourceManager, cvm.sb.policy.PolicyContext)","4.2847288E-4","0.047 ms","3"
"cvm.ncb.oem.pe.actions.DisableFrameworkAction.execute(cvm.sb.manager.ManagerContext, java.util.Map)","4.2847288E-4","0.047 ms","2"
"cvm.sb.manager.SignalInstance.<init>(String)","4.2847288E-4","0.047 ms","2"
"cvm.sb.emf.HandlerFactory.<init>()","4.2847288E-4","0.047 ms","2"
"cvm.sb.emf.HandlerFactory$_createActionInstance_closure3.class$(String)","4.1935642E-4","0.046 ms","1"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.processPacket(String)","4.1935642E-4","0.046 ms","2"
"cvm.sb.state.StateTypeManager.get(Object)","4.0112354E-4","0.044 ms","7"
"cvm.sb.autonomic.SignalRegistry$SignalEntry.<init>(cvm.sb.manager.SignalInstance)","3.920071E-4","0.043 ms","8"
"cvm.sb.state.StateManager.getType(String)","3.920071E-4","0.043 ms","7"
"cvm.sb.policy.metadata.Metadata.getFeatures()","3.8289066E-4","0.042 ms","8"
"cvm.sb.expression.CombinationEvaluator.$createCallSiteArray_1(String[])","3.8289066E-4","0.042 ms","2"
"cvm.sb.state.StateManager.getTypes()","3.6465778E-4","0.04 ms","12"
"cvm.sb.manager.BrokerManager.sendEvent(cvm.sb.manager.SignalInstance)","3.6465778E-4","0.04 ms","2"
"cvm.sb.expression.StateTypeManagerContext.class$(String)","3.6465778E-4","0.04 ms","3"
"cvm.sb.expression.EvaluationResult.$createCallSiteArray()","3.5554133E-4","0.039 ms","2"
"cvm.sb.resource.AbstractResource.getName()","3.5554133E-4","0.039 ms","14"
"cvm.sb.expression.ContextProviderWrapper.$get$$class$cvm$sb$expression$ContextProviderWrapper()","3.4642487E-4","0.038 ms","44"
"cvm.sb.expression.ContextProviderParams.getVariable(String)","3.4642487E-4","0.038 ms","10"
"cvm.sb.state.StateTypeManager$getAll.call(Object)","3.4642487E-4","0.038 ms","7"
"cvm.sb.expression.ConditionEvaluator$_evaluate_closure1.class$(String)","3.3730845E-4","0.037 ms","1"
"cvm.sb.expression.ContextBinder.$get$$class$cvm$sb$expression$ContextBinder()","3.3730845E-4","0.037 ms","10"
"cvm.sb.manager.BrokerManager$MainManagerContext.<init>(cvm.sb.manager.BrokerManager)","3.28192E-4","0.036 ms","8"
"cvm.sb.expression.ContextBinder.this$2$doGetBindable(sb.base.context.State)","3.28192E-4","0.036 ms","7"
"cvm.sb.expression.ValueEvaluator.$get$$class$java$util$LinkedHashMap()","3.28192E-4","0.036 ms","20"
"cvm.sb.expression.ConditionEvaluator.<clinit>","3.099591E-4","0.034 ms","1"
"cvm.sb.policy.PolicyRequest.getVariable(String)","3.099591E-4","0.034 ms","6"
"cvm.sb.expression.CombinationEvaluator$evaluateExpression.callStatic(Class, Object, Object)","3.099591E-4","0.034 ms","2"
"cvm.sb.manager.SignalInstance.<init>(Object, String, java.util.Map)","3.099591E-4","0.034 ms","14"
"cvm.sb.manager.BrokerManager$MainManagerContext.getResourceManager()","3.0084266E-4","0.033 ms","5"
"cvm.sb.manager.HandlingResult.<init>(Object)","3.0084266E-4","0.033 ms","6"
"cvm.sb.manager.SignalInstance.<init>(String, java.util.Map)","3.0084266E-4","0.033 ms","4"
"com.intellij.rt.execution.junit.segments.PacketWriter.appendLong(long)","3.0084266E-4","0.033 ms","5"
"cvm.sb.autonomic.AutonomicManager.setContext(cvm.sb.manager.ManagerContext)","2.917262E-4","0.032 ms","8"
"cvm.sb.expression.ContextProviderWrapper$_wrap_closure1.$get$$class$cvm$sb$expression$ContextProviderWrapper$_wrap_closure1()","2.917262E-4","0.032 ms","2"
"cvm.sb.expression.ValueEvaluator$_evaluate_closure1.$get$$class$cvm$sb$expression$ValueEvaluator$_evaluate_closure1()","2.917262E-4","0.032 ms","2"
