"Hot Spots - Method","Self time [%]","Self time","Invocations"
"cvm.sb.resource.ThreadedQueue.doWait()","85.98456","9431.809 ms","10"
"cvm.sb.expression.ValueEvaluator.evaluate(cvm.sb.expression.ContextProvider, sb.base.common.ExpressionValue)","6.253042","685.908 ms","12"
"cvm.sb.expression.ConditionEvaluator.evaluate(java.util.Collection, java.util.Collection)","1.8616235","204.205 ms","8"
"cvm.sb.resource.bridge.CallExecutor.areParamsEquiv(java.lang.reflect.Method, cvm.sb.adapters.Call, java.util.Map)","0.53805256","59.02 ms","12"
"cvm.sb.expression.ValueEvaluator.getParams(cvm.sb.expression.ContextProvider, java.util.Collection)","0.3942224","43.243 ms","20"
"cvm.sb.resource.bridge.CallExecutor.execute(String, java.util.Map)","0.36225104","39.736 ms","12"
"cvm.sb.resource.bridge.CallExecutor$_getMethod_closure1.doCall(java.lang.reflect.Method)","0.34192136","37.506 ms","551"
"cvm.sb.resource.bridge.CallExecutor.getMethod(String, java.util.Map)","0.33975163","37.268 ms","11"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(int)","0.3300791","36.207 ms","10413"
"cvm.sb.expression.ContextBinder.$getStaticMetaClass()","0.3253021","35.683 ms","8"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.flush()","0.3182277","34.907 ms","10494"
"cvm.sb.expression.CombinationEvaluator.evaluate(String, java.util.Map, java.util.List)","0.3179998","34.882 ms","14"
"cvm.sb.expression.CombinationEvaluator.evaluateExpression(String, java.util.Map)","0.30787143","33.771 ms","2"
"cvm.sb.expression.CombinationEvaluator$_evaluate_closure1.doCall(cvm.sb.expression.ContextProvider)","0.17160794","18.824 ms","6"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.write(int)","0.16717735","18.338 ms","10410"
"cvm.sb.emf.HandlerFactory$this$2$createActionInstance.callCurrent(groovy.lang.GroovyObject, Object)","0.16528113","18.13 ms","3"
"cvm.ncb.oem.pe.actions.SendSchemaAction.sendSchema(String, Object, Object, cvm.sb.resource.Resource)","0.13234343","14.517 ms","2"
"cvm.ncb.oem.pe.actions.SendSchemaAction.sendSchema(Object, cvm.sb.resource.Resource, java.util.Map, String)","0.1189149","13.044 ms","2"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.write(byte[], int, int)","0.11473045","12.585 ms","104"
"cvm.sb.expression.ValueEvaluator.evaluate(cvm.sb.expression.ContextProvider, sb.base.common.ParameterValue)","0.09049894","9.927 ms","30"
"cvm.sb.expression.ContextBinder$getBindable.callCurrent(groovy.lang.GroovyObject, Object)","0.083953336","9.209 ms","14"
